Date,Open,High,Low,Close,Adj Close,Volume,Mkt-RF,SMB,HML,RF,Yest_Close,stock_return,SMA_20,SMA_50,EMA_12,EMA_26,MACD,RSI,ADS_Index,NIO Yest_Close,GM Yest_Close,TM Yest_Close,F Yest_Close,RACE Yest_Close
2020-03-24,31.81999969482422,34.24599838256836,31.600000381469727,33.66666793823242,33.66666793823242,343428000,9.34,-1.26,2.39,0.006,28.952667236328125,0.16281749323562986,39.39373340606689,43.6002131652832,33.88790255980794,38.89454426273466,-5.006641702926721,42.04535412360116,-21.9172,2.369999885559082,17.431678771972656,111.0999984741211,3.5899555683135986,126.12294006347656
2020-03-25,36.349998474121094,37.133331298828125,34.07400131225586,35.95000076293945,35.95000076293945,318340500,1.18,-0.73,1.93,0.006,33.66666793823242,0.06782176450892667,38.5952335357666,43.619399871826175,34.205148437212785,38.6764299294165,-4.471281492203715,45.69273594405021,-22.5122,2.5999999046325684,20.90810775756836,116.3499984741211,4.431491374969482,141.1700439453125
2020-03-26,36.49266815185547,37.33333206176758,34.150001525878906,35.21066665649414,35.21066665649414,260710500,6.02,-0.72,1.09,0.006,35.95000076293945,-0.020565621439638068,38.092433547973634,43.60638656616211,34.359843547871456,38.419706724014844,-4.059863176143388,44.71151112369477,-23.0377,2.759999990463257,21.284473419189453,121.29000091552734,4.825401306152344,150.04248046875
2020-03-27,33.66666793823242,35.0533332824707,32.935333251953125,34.29066848754883,34.29066848754883,215661000,-3.48,-0.83,-0.76,0.006,35.21066665649414,-0.026128393930185102,37.5803337097168,43.600866622924805,34.34920123089874,38.113852039832175,-3.764650808933432,43.46081967575121,-23.494,2.930000066757202,22.34423828125,126.33999633789062,4.700066089630127,153.08111572265625
2020-03-30,34.017333984375,34.44333267211914,32.7486686706543,33.47533416748047,33.47533416748047,179971500,3.16,-0.3,-2.11,0.006,34.29066848754883,-0.02377714859552571,36.775366973876956,43.585719985961916,34.21476014421901,37.77025812336168,-3.5554979791426717,42.3307119371878,-24.5741,2.8399999141693115,21.17552375793457,127.23999786376953,4.6463518142700195,146.11756896972656
2020-03-31,33.41666793823242,36.19733428955078,33.133331298828125,34.93333435058594,34.93333435058594,266572500,-1.44,1.8,-0.39,0.006,33.47533416748047,0.04355446239344309,36.037000274658205,43.60372001647949,34.32531002212161,37.56011562167459,-3.2348055995529776,45.080836638156704,-25.0051,2.7100000381469727,21.116098403930664,125.22000122070312,4.503111362457275,150.2664794921875
2020-04-01,33.599998474121094,34.26333236694336,31.67333221435547,32.104000091552734,32.104000091552734,200298000,-4.51,-1.5,-1.42,0.0,34.93333435058594,-0.08099239055277145,35.14386692047119,43.51620002746582,33.98357003280332,37.15595891573964,-3.1723888829363176,40.99526476023366,-25.4928,2.7799999713897705,20.58126449584961,119.94999694824219,4.324060916900635,148.59133911132812
2020-04-02,32.068668365478516,32.95066833496094,29.760000228881836,30.29800033569336,30.29800033569336,297876000,2.1,-0.98,-0.27,0.0,32.104000091552734,-0.0562546645498725,34.2436336517334,43.36274665832519,33.41655931017102,36.64796198388436,-3.2314026737133403,38.59108993558612,-25.8789,2.6500000953674316,19.0757999420166,116.70999908447266,3.939103364944458,144.57876586914062
2020-04-03,33.96666717529297,34.36600112915039,31.22599983215332,32.000667572021484,32.000667572021484,338431500,-1.64,-1.09,-1.14,0.0,30.29800033569336,0.056197346935871965,33.49873371124268,43.23982666015625,33.19872981199417,36.303717953376,-3.104988141381831,42.04206655289643,-26.1636,2.390000104904175,18.016036987304688,117.81999969482422,3.9032931327819824,138.15089416503906
2020-04-06,34.08000183105469,34.733333587646484,33.19733428955078,34.41600036621094,34.41600036621094,223527000,7.06,0.76,0.3,0.0,32.000667572021484,0.07547757523349931,33.19286708831787,43.17505332946777,33.3860022049506,36.1638870209934,-2.7778848160428,46.62438630813417,-26.4758,2.4000000953674316,17.867469787597656,115.0,3.795863628387451,131.31394958496094
2020-04-07,36.33333206176758,37.66666793823242,35.48933410644531,36.36333465576172,36.36333465576172,268797000,-0.11,-0.58,2.09,0.0,34.41600036621094,0.056582237006908044,32.859933853149414,43.158293380737305,33.844053351229235,36.17866091986512,-2.3346075686358887,50.05308546501806,-26.4876,2.4700000286102295,19.363025665283203,122.41000366210938,4.055485725402832,143.17633056640625
2020-04-08,36.9466667175293,37.14733123779297,35.55533218383789,36.589332580566406,36.589332580566406,189840000,3.4,0.31,1.29,0.0,36.36333465576172,0.006214994497730379,32.57530040740967,43.13421340942383,34.26640400189649,36.20908104288003,-1.9426770409835399,50.45089113682358,-26.4642,2.700000047683716,21.096290588378906,121.9000015258789,4.216630935668945,142.66014099121094
2020-04-09,37.4726676940918,38.345333099365234,37.14066696166992,38.20000076293945,38.20000076293945,204750000,1.59,1.92,3.16,0.0,36.589332580566406,0.04402015748241652,32.616800498962405,43.123560104370114,34.871572734364634,36.356556577699244,-1.4849838433346108,53.30530016065851,-26.4057,2.740000009536743,22.90878677368164,123.54000091552734,4.503111362457275,149.9937744140625
2020-04-13,39.34400177001953,43.46666717529297,38.70199966430664,43.39666748046875,43.39666748046875,337131000,-0.92,-0.84,-2.41,0.0,38.20000076293945,0.13603839302984921,32.96456718444824,43.137080078125,36.18312577222681,36.878046274200685,-0.6949205019738756,61.093035363001704,-25.794,2.6700000762939453,23.829893112182617,123.41000366210938,4.807496547698975,152.94476318359375
2020-04-14,46.597999572753906,49.45866775512695,46.1619987487793,47.32600021362305,47.32600021362305,458647500,3.02,-0.18,-3.13,0.0,43.39666748046875,0.09054457315006378,33.84730052947998,43.21617340087891,37.89741414782623,37.65196878823197,0.24544535959426383,65.7450922358004,-25.5079,2.9700000286102295,22.78993797302246,121.26000213623047,4.6194939613342285,149.41915893554688
2020-04-15,49.46666717529297,50.20866775512695,47.33333206176758,48.65533447265625,48.65533447265625,353655000,-2.15,-1.23,-2.54,0.0,47.32600021362305,0.02808887827056526,34.846067237854,43.149280090332034,39.5524788131847,38.46703291300413,1.0854459001805665,67.17504559194019,-25.1607,3.009999990463257,22.760221481323242,124.63999938964844,4.735876560211182,151.69815063476562
2020-04-16,47.79600143432617,50.630001068115234,47.11466598510742,49.680667877197266,49.680667877197266,309868500,0.62,-0.21,-2.97,0.0,48.65533447265625,0.02107340162500047,36.12603397369385,42.960146789550784,41.110661746109706,39.2976725399814,1.8129892061283073,68.27510185490743,-24.7522,3.200000047683716,21.452848434448242,122.98999786376953,4.503111362457275,146.67271423339844
